 ,Label,IntDen,RawIntDen
70,set1.tif:exp4102,25610684.82,262345611
71,set1.tif:exp4106,25616622.28,262406432
72,set1.tif:exp4106,25611771.16,262356739
73,set1.tif:exp4106,25620299.5,262444100
74,set1.tif:exp4106,25613991.37,262379482
75,set1.tif:exp4106,25606113.48,262298784
76,set1.tif:exp4106,25634817.15,262592813
77,set1.tif:exp4106,25605541.9,262292929
78,set1.tif:exp4106,25622790.52,262469617
79,set1.tif:exp4106,25617734.29,262417823
80,set1.tif:exp4106,25611777.5,262356804
81,set1.tif:exp4110,25617646.43,262416923
82,set1.tif:exp4110,25612121.81,262360331
83,set1.tif:exp4110,25620666.66,262447861
84,set1.tif:exp4110,25614541.18,262385114
85,set1.tif:exp4110,25606377.35,262301487
86,set1.tif:exp4110,25637291.38,262618158
87,set1.tif:exp4110,25605361.49,262291081
88,set1.tif:exp4110,25623497.21,262476856
89,set1.tif:exp4110,25617644.68,262416905
90,set1.tif:exp4110,25611763.15,262356657
91,set1.tif:exp4114,25618202,262422614
92,set1.tif:exp4114,25612660.49,262365849
93,set1.tif:exp4114,25621449.1,262455876
94,set1.tif:exp4114,25615029.97,262390121
95,set1.tif:exp4114,25606665.53,262304439
96,set1.tif:exp4114,25638155.24,262627007
97,set1.tif:exp4114,25605950.55,262297115
98,set1.tif:exp4114,25624293.41,262485012
99,set1.tif:exp4114,25617605.33,262416502
100,set1.tif:exp4114,25612219.14,262361328
101,set1.tif:exp4118,25617727.26,262417751
102,set1.tif:exp4118,25612750.69,262366773
103,set1.tif:exp4118,25621568.88,262457103
104,set1.tif:exp4118,25614940.26,262389202
105,set1.tif:exp4118,25606395.31,262301671
106,set1.tif:exp4118,25640988.13,262656026
107,set1.tif:exp4118,25605627.71,262293808
108,set1.tif:exp4118,25625614.63,262498546
109,set1.tif:exp4118,25617653.27,262416993
110,set1.tif:exp4118,25612232.81,262361468
111,set1.tif:exp4122,25617139.68,262411732
112,set1.tif:exp4122,25612509.27,262364300
113,set1.tif:exp4122,25621584.5,262457263
114,set1.tif:exp4122,25614859.13,262388371
115,set1.tif:exp4122,25606117.09,262298821
116,set1.tif:exp4122,25640671.35,262652781
117,set1.tif:exp4122,25605313.07,262290585
118,set1.tif:exp4122,25625106.9,262493345
119,set1.tif:exp4122,25616953.42,262409824
120,set1.tif:exp4122,25612462.81,262363824
121,set1.tif:exp4154,25612956.19,262368878
122,set1.tif:exp4154,25610388.05,262342571
123,set1.tif:exp4154,25616851.6,262408781
124,set1.tif:exp4154,25611570.64,262354685
125,set1.tif:exp4154,25606007.17,262297695
126,set1.tif:exp4154,25631698.04,262560862
127,set1.tif:exp4154,25605310.44,262290558
128,set1.tif:exp4154,25620105.92,262442117
129,set1.tif:exp4154,25613243.39,262371820
130,set1.tif:exp4154,25612372.9,262362903
131,set1.tif:exp4156,25613522.39,262374678
132,set1.tif:exp4156,25610721.43,262345986
133,set1.tif:exp4156,25617910.31,262419626
134,set1.tif:exp4156,25613703.97,262376538
135,set1.tif:exp4156,25606343.86,262301144
136,set1.tif:exp4156,25634153.91,262586019
137,set1.tif:exp4156,25605489.57,262292393
138,set1.tif:exp4156,25621135.25,262452661
139,set1.tif:exp4156,25614281.41,262382453
140,set1.tif:exp4156,25612545.88,262364675
141,set1.tif:exp4158,25614836.29,262388137
142,set1.tif:exp4158,25611626.09,262355253
143,set1.tif:exp4158,25619793.33,262438915
144,set1.tif:exp4158,25615104.65,262390886
145,set1.tif:exp4158,25606000.72,262297629
146,set1.tif:exp4158,25635761.35,262602485
147,set1.tif:exp4158,25605103.77,262288441
148,set1.tif:exp4158,25621681.34,262458255
149,set1.tif:exp4158,25614815.1,262387920
150,set1.tif:exp4158,25612981.96,262369142
151,set1.tif:exp4170,25610531.45,262344040
152,set1.tif:exp4170,25611708.09,262356093
153,set1.tif:exp4170,25620259.48,262443690
154,set1.tif:exp4170,25614584.91,262385562
155,set1.tif:exp4170,25605399.18,262291467
156,set1.tif:exp4170,25631333.13,262557124
157,set1.tif:exp4170,25604888.42,262286235
158,set1.tif:exp4170,25622267.37,262464258
159,set1.tif:exp4170,25615390.49,262393814
160,set1.tif:exp4170,25611246.14,262351361
161,set1.tif:exp4186,25610132.67,262339955
162,set1.tif:exp4186,25609988.19,262338475
163,set1.tif:exp4186,25618761.47,262428345
164,set1.tif:exp4186,25613167.34,262371041
165,set1.tif:exp4186,25604978.52,262287158
166,set1.tif:exp4186,25631514.51,262558982
167,set1.tif:exp4186,25604686.24,262284164
168,set1.tif:exp4186,25617502.05,262415444
169,set1.tif:exp4186,25615087.76,262390713
170,set1.tif:exp4186,25610448.28,262343188
171,set1.tif:exp4202,25612079.64,262359899
172,set1.tif:exp4202,25610871.76,262347526
173,set1.tif:exp4202,25619361.94,262434496
174,set1.tif:exp4202,25613870.22,262378241
175,set1.tif:exp4202,25605886.21,262296456
176,set1.tif:exp4202,25632410.29,262568158
177,set1.tif:exp4202,25605245.13,262289889
178,set1.tif:exp4202,25618518.29,262425854
179,set1.tif:exp4202,25615417.63,262394092
180,set1.tif:exp4202,25611164.24,262350522
181,set1.tif:exp4218,25613697.72,262376474
182,set1.tif:exp4218,25611905.48,262358115
183,set1.tif:exp4218,25621714.24,262458592
184,set1.tif:exp4218,25613910.34,262378652
185,set1.tif:exp4218,25606359.29,262301302
186,set1.tif:exp4218,25633694.6,262581314
187,set1.tif:exp4218,25605716.35,262294716
188,set1.tif:exp4218,25618883.79,262429598
189,set1.tif:exp4218,25614910.19,262388894
190,set1.tif:exp4218,25612121.13,262360324
191,set1.tif:exp4252,25611294.17,262351853
192,set1.tif:exp4252,25610315.81,262341831
193,set1.tif:exp4252,25617501.17,262415435
194,set1.tif:exp4252,25615891,262398941
195,set1.tif:exp4252,25606219.49,262299870
196,set1.tif:exp4252,25634431.16,262588859
197,set1.tif:exp4252,25606144.13,262299098
198,set1.tif:exp4252,25617918.6,262419711
199,set1.tif:exp4252,25613606.25,262375537
200,set1.tif:exp4252,25612774.9,262367021
201,set1.tif:exp4254,25611985.92,262358939
202,set1.tif:exp4254,25610584.56,262344584
203,set1.tif:exp4254,25617847.93,262418987
204,set1.tif:exp4254,25616539.69,262405586
205,set1.tif:exp4254,25606268.7,262300374
206,set1.tif:exp4254,25638281.07,262628296
207,set1.tif:exp4254,25605944.69,262297055
208,set1.tif:exp4254,25619197.84,262432815
209,set1.tif:exp4254,25613913.86,262378688
210,set1.tif:exp4254,25613438.73,262373821
211,set1.tif:exp4266,25608929.87,262327634
212,set1.tif:exp4266,25609736.03,262335892
213,set1.tif:exp4266,25619809.05,262439076
214,set1.tif:exp4266,25615769.07,262397692
215,set1.tif:exp4266,25605802.36,262295597
216,set1.tif:exp4266,25635871.67,262603615
217,set1.tif:exp4266,25605184.6,262289269
218,set1.tif:exp4266,25618397.93,262424621
