Image_file,set,treatment,plant,rep,leaf,petioleLength,bladeLength,bladeWidth,bladeArea,bladePerimeter,bladeCircularity,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,5,6.286,15.141,8.781,104.426,52.832,0.47,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,6,7.421,15.761,8.928,110.514,54.356,0.47,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,7,6.959,16.566,9.619,125.154,57.065,0.483,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,8,5.18,16.46,8.922,115.342,54.779,0.483,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,9,3.818,15.066,7.489,88.615,39.898,0.7,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr3,2,10,0.573,12.224,6.319,60.661,40.809,0.458,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,1,2.94,6.345,5.876,29.287,27.009,0.505,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,2,2.874,4.985,3.624,14.19,19.643,0.462,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,3,6.212,11.907,8.7,81.36,45.381,0.496,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,4,7.481,13.323,9.049,94.688,49.699,0.482,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,5,7.832,14.696,9.362,108.057,55.711,0.438,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,6,8.713,14.521,8.516,97.12,51.139,0.467,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,7,4.8,15.244,7.439,89.07,51.562,0.421,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,8,5.009,15.692,6.471,79.751,48.683,0.423,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,1,9,1.98,10.774,5.719,48.396,39.116,0.397,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,1,4.141,6.643,6.113,31.892,27.855,0.517,,
